# CentOS Stream RPM Package Patch Files Analysis
# Analysis Date: 2025-08-05 15:04:37
# Total Packages Analyzed: 4446
# Packages with Patch Files: 1113
# Percentage: 25.0%
#
package_name,project_id,web_url,patch_count
perl-MIME-Charset,25167873,https://gitlab.com/redhat/centos-stream/rpms/perl-MIME-Charset,1
perl-List-MoreUtils-XS,25167864,https://gitlab.com/redhat/centos-stream/rpms/perl-List-MoreUtils-XS,1
perl-IPC-Run3,25167858,https://gitlab.com/redhat/centos-stream/rpms/perl-IPC-Run3,1
perl-IO-All,25167851,https://gitlab.com/redhat/centos-stream/rpms/perl-IO-All,2
perl-HTTP-Daemon,25167849,https://gitlab.com/redhat/centos-stream/rpms/perl-HTTP-Daemon,1
perl-Devel-StackTrace,25167796,https://gitlab.com/redhat/centos-stream/rpms/perl-Devel-StackTrace,1
perl-common-sense,25167752,https://gitlab.com/redhat/centos-stream/rpms/perl-common-sense,1
pam_wrapper,25167727,https://gitlab.com/redhat/centos-stream/rpms/pam_wrapper,1
ocaml-labltk,25167709,https://gitlab.com/redhat/centos-stream/rpms/ocaml-labltk,3
ocaml-gettext,25167708,https://gitlab.com/redhat/centos-stream/rpms/ocaml-gettext,3
ocaml-findlib,25167706,https://gitlab.com/redhat/centos-stream/rpms/ocaml-findlib,1
ocaml-fileutils,25167704,https://gitlab.com/redhat/centos-stream/rpms/ocaml-fileutils,2
ocaml-dune,25167702,https://gitlab.com/redhat/centos-stream/rpms/ocaml-dune,2
ocaml-calendar,25167695,https://gitlab.com/redhat/centos-stream/rpms/ocaml-calendar,2
nss_wrapper,25167688,https://gitlab.com/redhat/centos-stream/rpms/nss_wrapper,1
ninja-build,25167684,https://gitlab.com/redhat/centos-stream/rpms/ninja-build,1
ncompress,25167681,https://gitlab.com/redhat/centos-stream/rpms/ncompress,5
msv,25167676,https://gitlab.com/redhat/centos-stream/rpms/msv,1
modello,25167670,https://gitlab.com/redhat/centos-stream/rpms/modello,1
mockito,25167669,https://gitlab.com/redhat/centos-stream/rpms/mockito,1
mingw-zlib,25167667,https://gitlab.com/redhat/centos-stream/rpms/mingw-zlib,4
mingw-w64-tools,25167663,https://gitlab.com/redhat/centos-stream/rpms/mingw-w64-tools,3
mingw-termcap,25167662,https://gitlab.com/redhat/centos-stream/rpms/mingw-termcap,1
mingw-headers,25167657,https://gitlab.com/redhat/centos-stream/rpms/mingw-headers,1
mingw-glib2,25167656,https://gitlab.com/redhat/centos-stream/rpms/mingw-glib2,2
mingw-gettext,25167655,https://gitlab.com/redhat/centos-stream/rpms/mingw-gettext,1
mingw-gcc,25167654,https://gitlab.com/redhat/centos-stream/rpms/mingw-gcc,2
mingw-binutils,25167652,https://gitlab.com/redhat/centos-stream/rpms/mingw-binutils,25
meson,25167651,https://gitlab.com/redhat/centos-stream/rpms/meson,1
maven-plugin-tools,25167634,https://gitlab.com/redhat/centos-stream/rpms/maven-plugin-tools,3
maven-plugin-testing,25167632,https://gitlab.com/redhat/centos-stream/rpms/maven-plugin-testing,3
maven-dependency-plugin,25167614,https://gitlab.com/redhat/centos-stream/rpms/maven-dependency-plugin,1
